iter	Logloss
0	0.6002083292
1	0.5492608578
2	0.5119805885
3	0.4917431321
4	0.4664080261
5	0.4548065835
6	0.4357990934
7	0.4178347079
8	0.4030075768
9	0.3933383171
10	0.3839630728
11	0.3704548653
12	0.3693604867
13	0.3659611943
14	0.3581465459
15	0.345945488
16	0.3402030511
17	0.3315386039
18	0.3298164158
19	0.3285811108
20	0.3183791047
21	0.312940548
22	0.3128517592
23	0.3078913098
24	0.3020034042
25	0.3014492076
26	0.2967914848
27	0.289996932
28	0.283862792
29	0.2800803111
30	0.2757968573
31	0.2750619669
32	0.2678835307
33	0.2619352516
34	0.2564204767
35	0.2561114986
36	0.2522421255
37	0.251426343
38	0.2477826064
39	0.2459646727
40	0.2430356975
41	0.2400858652
42	0.2399418355
43	0.2382809911
44	0.2382081344
45	0.2329796943
46	0.2293168754
47	0.2262512036
48	0.2231802177
49	0.2198642547
50	0.2168932975
51	0.2148606434
52	0.2112531776
53	0.207060368
54	0.2047628291
55	0.2020852437
56	0.2013019291
57	0.1989029603
58	0.1987203223
59	0.1965477288
60	0.1930785656
61	0.1910536394
62	0.1882082811
63	0.1867072124
64	0.1839870281
65	0.1839739887
66	0.1815849377
67	0.1800069221
68	0.1782179952
69	0.1754171075
70	0.1738352318
71	0.1736561127
72	0.1722571166
73	0.1695643403
74	0.167179533
75	0.1657377078
76	0.1629495033
77	0.1608201
78	0.1584025984
79	0.1562993183
80	0.1541922673
81	0.1527162825
82	0.1508012432
83	0.1495109106
84	0.1484269149
85	0.1469100877
86	0.1456864297
87	0.1443976289
88	0.143336818
89	0.1415333705
90	0.1404159547
54
91	0.508303603
92	0.5072433793
93	0.506108339
94	0.5048914257
95	0.5039677829
96	0.93	0.03166697	0.594	0.03132073446
95	0.03101342294
96	0.03042026604
97	0.0297893698
98	0.02966618738
99	0.02932631518
100	0.03141822457
101	0.03112680844
102	0.03068378305
103	0.03045750323
104	0.02999498387
105	0.02956956947
106	0.02928404813
107	0.0289845536
108	0.02838934633
109	0.02800854874
110	0.02766299975
111	0.02727796432
112	0.02685501238
113	0.02657408098
114	0.0262674924
115	0.02577619047
116	0.025317486181117	0.025089014971118	0.0248268158
119	0.02459195791
120	0.02428702085
121	0.02386182948
122	0.0235904507
123	0.02347080047
124	0.02314735043
125	0.0228866366
126	0.02255902418
127	0.02233418469
128	0.02196706589
129	0.02174548646
130	0.021589883
2
131	0.01999350395
132	0.01975330563
133	0.0194545331
387
134	0.01944924043
135	0.01927086484
136	0.01915615138
.02190149187
138	0.02165776298
139	0.02149654964
140	0.02131771742
141	0.0211115231
142	0.02097897609
143	0.02081754905
144	0.02058460116
145	0.0204610359
146	0.02028733762
147	0.02009928945
148	0.01996140284
4577402505
156	0.4569938289
157	0.4562798988
158	0.4556561697
159	0.4547752046
160	0.4543342112
161	0.4538700881
162	0.4533221566
163	0.4528310076
164	0.4523706986
	0.01790623358
159	0.01769582881

167	0.4518876033
168	0.4510452418
169	0.4502428175
170	0.4499570771
171	0.4491735629
172	0.4485107771

173	0.4514087452
174	0.4509776478
	0.451445476
176	0.4506492465
177	0.4498934842
178	0.4492155449
179	0.4486667307
180	0.4480741269
181	0.4476385706
182	0.4472955564
183	0.446615378
184	0.4459678212
185	0.4456542215
186	0.4453107343
187	0.444741588
188	0.4439433889
189	0.4436024467
190	0.4431085658
191	0.4427260901
192	0.4424274405
193	0.4417974878
194	0.4410929229
195	0.4405625467
196196	0.44127293197197	0.4406688528
198	0.4400588467
199	0.4395509686
200	0.4388968422
201	0.4382498398
202	0.4376759337
203	0.4369855002
	0.4363265809
205	0.4357256626
206	0.4350653721
207	0.4349185012
208	0.4347263844
209	0.4344465966
210	0.4338159374
211	0.4335455008
212	0.4329277169
213	0.3240838005
214	0.323157656
215	0.3231125985
216	0.3223176498
217	0.3216635887
218	0.3216437944
219	0.32219	0.322220	0.32220	0.321221	0.3203247118
222	0.3195360439
223	0.3188295031
224	0.3183248314
225	0.3178704853
226	0.3170595585
227	0.3162260084
228	0.3145984459
229	0.315760164

230	0.3145241548
231	0.3145190933
232	0.3138170759
427208
233	0.3165657369
234	0.3160204101
35	0.3162111883
236	0.3153996349
237	0.3152935805
238	0.3144449374
239	0.3137392261
240	0.3129035896
241	0.3122467873
242	0.3122378884
243	0.3115974488
244	0.3107536653
245	0.3103703457
246	0.3098630931
247	0.3177673898
248	0.3170217558
249	0.3164146567
250	0.3155415973
251	0.3154991539
252	0.3153985899
253	0.3148377195
254	0.3147527371
