iter	Passed	Remaining
0	108	107935
1	882	440195
2	1336	444041
3	1339	333526
4	2133	424499
5	2139	354392
6	2656	376855
7	3702	459088
8	4715	519195
9	5370	531646
10	5756	517533
11	6219	512064
12	6223	472472
13	6261	441004
14	6773	444774
15	7287	448165
16	7684	444333
17	8138	443975
18	8197	423234
19	8201	401878
20	8844	412307
21	9229	410303
22	9232	392189
23	9906	402870
24	10754	419430
25	10759	403056
26	11168	402481
27	11813	410105
28	12905	432103
29	13717	443538
30	14281	446400
31	14284	432108
32	15025	440302
33	15421	438155
34	16111	444205
35	16538	442876
36	17121	445608
37	17599	445538
38	18194	448327
39	18654	447707
40	19125	447359
41	19851	452811
42	20212	449839
43	20739	450616
44	21178	449449
45	21716	450375
46	22245	451071
47	22754	451301
48	23321	452626
49	23953	455125
50	24559	456999
51	24925	454412
52	25565	456810
53	26259	460033
54	26939	462866
55	27369	461367
56	27689	458090
57	28368	460739
58	28782	459062
59	29449	461382
60	29958	461158
61	30481	461162
62	31052	461840
63	31494	460607
64	32030	460741
65	32115	454484
66	32505	452656
67	33430	458187
68	34229	461848
69	35107	466429
70	35795	468362
71	36197	466547
72	36918	468812
73	37494	469185
74	38082	469682
75	38865	472517
76	39284	470902
77	39797	470427
78	40577	473063
79	41281	474732
80	42253	479389
81	43241	484089
82	44104	487271
83	44922	489874
84	45822	493264
85	46353	492638
86	47109	494384
87	47794	495326
88	48196	493335
89	48788	493301
90	49778	497242
193	31333	302009294	31894	3038393	52854	509423
94	53543	510070
95	54073	509194
96	54728	509482
97	55310	509083
98	55450	504651999	56065	504593100	60185	535708
101	60985	536913
102	61693	537275
103	62334	537036
104	62893	536096
105	63330	534126
106	64037	534439
107	64849	535607
108	65614	536354
109	66635	539138
110	67501	540622
111	68366	542050
112	69137	542696
113	69576	540741
114	70034	538964
115	70572	537810
116	71050	536222
117	71574	534988
118	72518	536881
119	73591	539670
120	74413	540577
121	75404	542664
122	76180	543176
123	76969	543750
124	77590	543136
125	78167	542206
126	78616	540409
127	79373	540735
128	80022	540307
129	80659	539798
130	81064	537749

131	76917	505787
132	77609	505922
133	78134	504961
134	80773	517545
135	81550	518082
136	82109	517232
37	74183	463377
138	75155	465531
139	76227	468256
140	77160	470074
141	78021	471426
142	78693	471610
143	79680	473657
144	80880	476918
145	81710	477949
146	82453	478453
147	83179	478841
148	83650	477761
54345	303189
152	54851	303652
153	55325	303930
154	553152	90875	155	557153	91286	156	561154	91621	157	57186	304752
158	57941	306472
159	58538	307326
160	585158	93830	496300
159	94699	497173
79	300806
163	58584	298637
164	58748	297301
1	271914
165	53736	269979
166	53857	268644
167	53909	266980
168	54950	270200
169	55742	272156
170	55790	270467
171	56493	271958
172	57242	27173	58645	278397
174	58657	276528
5	259501
175	55685	260709
176	56096	260831
177	56503	260932
178	57283	262737
179	58146	264891
180	58534	264862
181	58619	263464
182	58623	261722
183	59547	264081
184	60254	265444
185	60258	263711
186	60262	261995
187	60817	262678
188	61227	262728
189	61302	261343
190	62026	262720
191	62033	261056
192	62099	259659
193	62540	259832
194	63111	260535
195	63572	260778
196	63575	196	661197	63970	197	66966	271246
198	67431	271421
199	68196	272786
200	69079	274601
201	69952	276346
202	70717	277643
203	71577	279293
256627
205	66781	257402
206	67240	257592
207	67244	256046
208	67251	254525
209	67269	253061
210	67667	253032
211	67835	252144
212	68822	254287
212	95800	353967
213	96574	354707
214	97037	354301
215	97040	352220
216	97443	351604
217	97927	351280
218	97931	349243219	97521	345758
220	98179	346069
2221	99080	3472272222	100105	3487922223	100865	3494224224	101572	3498225225	102136	3497226226	102584	349328
227	103011	348791228	102843	346254
2229	103382	346105
30	102917	342611
231	102920	340700
232	103672	341273
3	102511	335572
234	103219	336013
235	96505	312415
236	97215	312975
237	238	98580	313238	98167	312574
239	99083	313765
240	99418	313105
241	99828	312685
242	99831	310997
243	100280	310706
244	101146	311696
245	102249	313398
246	103068	314214
906
248	102641	309573
249	103014	309043
250	103422	308618
251	103427	306998
252	103432	305390
253	103970	305363
254	103975	303772
